year,party,turnout,chancellor,unemp,chancellor_polls,term,cdsu_gov,spd_gov,fdp_gov,gru_gov,lin_gov,voteshare,election,voteshare_l1,voteshare_l2,voteshare_l3,unemp_l1,swing,swing_l1,chancellor_party,major,gov,parl,unemp_swing,ltw_swing_mean_200_full,ltw_swing_rel_mean_200_full,ltw_swing_mean_200_730,ltw_swing_rel_mean_200_730,ltw_swing_mean_200_365,ltw_swing_rel_mean_200_365,polls_200_230,polls_170_200,polls_100_130,polls_70_100,polls_1_30,polls_1_8,polls_8_15,polls_64_71,polls_92_99,polls_148_155,polls_200_230_swing,voteshare_l1_3
1949.0,cdu,78.5,,11.0,,0.0,,,,,0.0,31.0,1,,,,,,,,1.0,,,,3.1000003814697266,0.16402118751528275,3.1000003814697266,0.16402118751528275,,,,,,,,,,,,,,
1949.0,fdp,78.5,,11.0,,0.0,,,,,0.0,11.899999618530273,1,,,,,,,,0.0,,,,1.1000003814697266,0.06010931296882475,1.1000003814697266,0.06010931296882475,,,,,,,,,,,,,,
1949.0,oth,78.5,,11.0,,0.0,,,,,0.0,27.899999618530273,1,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1949.0,spd,78.5,,11.0,,0.0,,,,,0.0,29.200000762939453,1,,,,,,,,1.0,,,,5.899997711181641,0.1414867530751994,,,,,,,,,,,,,,,,
1953.0,cdu,86.0,cdu,8.399999618530273,74.0,1.0,1.0,0.0,1.0,0.0,0.0,45.20000076293945,2,31.0,,,11.0,14.200000762939453,,1.0,1.0,1.0,1.0,-2.6000003814697266,-7.66249942779541,-0.19730281147951087,-12.899999618530273,-0.5863636190241034,,,34.0,37.0,38.0,39.0,41.0,,,,,,3.0,31.0
1953.0,fdp,86.0,cdu,8.399999618530273,74.0,1.0,1.0,0.0,1.0,0.0,0.0,9.5,2,11.899999618530273,,,11.0,-2.3999996185302734,,0.0,0.0,1.0,1.0,-2.6000003814697266,3.528571537562779,0.43138474881720185,-7.59999942779541,-0.3917525555276882,,,16.0,12.0,12.0,12.0,12.0,,,,,,4.100000381469727,11.899999618530273
1953.0,oth,86.0,cdu,8.399999618530273,74.0,1.0,1.0,0.0,1.0,0.0,0.0,16.5,2,27.899999618530273,,,11.0,-11.399999618530273,,0.0,0.0,0.0,1.0,-2.6000003814697266,,,,,,,17.0,18.0,15.0,15.0,19.0,,,,,,-10.899999618530273,27.899999618530273
1953.0,spd,86.0,cdu,8.399999618530273,74.0,1.0,1.0,0.0,1.0,0.0,0.0,28.799999237060547,2,29.200000762939453,,,11.0,-0.40000152587890625,,0.0,1.0,0.0,1.0,-2.6000003814697266,-4.2124998569488525,-0.0952147654160612,-8.5,-0.1785714342957644,,,33.0,33.0,35.0,34.0,28.0,,,,,,3.799999237060547,29.200000762939453
1957.0,cdu,87.80000305175781,cdu,3.700000047683716,67.0,2.0,1.0,0.0,1.0,0.0,0.0,50.20000076293945,3,45.20000076293945,31.0,,8.399999618530273,5.0,14.200000762939453,1.0,1.0,1.0,1.0,-4.699999570846558,7.989999580383301,0.3571920235183694,7.749999046325684,0.5806775930258012,,,42.0,41.0,42.0,50.0,50.0,50.0,,,,41.0,-3.200000762939453,38.10000038146973
1957.0,fdp,87.80000305175781,cdu,3.700000047683716,67.0,2.0,1.0,0.0,1.0,0.0,0.0,7.699999809265137,3,9.5,11.899999618530273,,8.399999618530273,-1.8000001907348633,-2.3999996185302734,0.0,0.0,1.0,1.0,-4.699999570846558,-3.411111142900255,-0.15745284181775618,-2.299999713897705,-0.17448208835778012,,,8.0,9.0,8.0,7.0,7.0,7.0,,,,9.0,-1.5,10.699999809265137
