institute,date,election,sample_size,election_date,days_to_election,cdu,spd,fdp,gru,lin,afd,oth
allensbach,1951-04-15,1953.0,,1953-09-06,875.0,23.0,38.0,15.0,,,,24.0
allensbach,1950-11-15,1953.0,,1953-09-06,1026.0,26.0,39.0,16.0,,,,19.0
allensbach,1952-12-15,1953.0,,1953-09-06,265.0,33.0,35.0,15.0,,,,17.0
allensbach,1953-02-15,1953.0,,1953-09-06,203.0,34.0,33.0,16.0,,,,17.0
allensbach,1951-03-15,1953.0,,1953-09-06,906.0,29.0,35.0,15.0,,,,21.0
allensbach,1951-06-15,1953.0,,1953-09-06,814.0,25.0,37.0,15.0,,,,23.0
allensbach,1950-04-15,1953.0,,1953-09-06,1240.0,32.0,32.0,17.0,,,,19.0
allensbach,1950-05-15,1953.0,,1953-09-06,1210.0,38.0,30.0,14.0,,,,18.0
allensbach,1951-08-15,1953.0,,1953-09-06,753.0,22.0,35.0,16.0,,,,27.0
allensbach,1952-11-15,1953.0,,1953-09-06,295.0,34.0,35.0,14.0,,,,17.0
allensbach,1950-10-15,1953.0,,1953-09-06,1057.0,33.0,32.0,14.0,,,,21.0
allensbach,1952-06-15,1953.0,,1953-09-06,448.0,28.0,38.0,13.0,,,,21.0
allensbach,1952-09-15,1953.0,,1953-09-06,356.0,33.0,33.0,14.0,,,,20.0
allensbach,1952-08-15,1953.0,,1953-09-06,387.0,33.0,36.0,12.0,,,,19.0
allensbach,1950-03-15,1953.0,,1953-09-06,1271.0,27.0,32.0,17.0,,,,24.0
allensbach,1951-10-15,1953.0,,1953-09-06,692.0,29.0,34.0,13.0,,,,24.0
allensbach,1950-07-15,1953.0,,1953-09-06,1149.0,39.0,32.0,15.0,,,,14.0
allensbach,1950-09-15,1953.0,,1953-09-06,1087.0,31.0,33.0,15.0,,,,21.0
allensbach,1952-04-15,1953.0,,1953-09-06,509.0,32.0,38.0,12.0,,,,18.0
allensbach,1950-01-15,1953.0,,1953-09-06,1330.0,26.0,31.0,16.0,,,,27.0
allensbach,1950-12-15,1953.0,,1953-09-06,996.0,29.0,38.0,17.0,,,,16.0
allensbach,1952-02-15,1953.0,,1953-09-06,569.0,31.0,34.0,14.0,,,,21.0
allensbach,1950-08-15,1953.0,,1953-09-06,1118.0,31.0,32.0,16.0,,,,21.0
allensbach,1953-05-15,1953.0,,1953-09-06,114.0,38.0,35.0,12.0,,,,15.0
allensbach,1952-10-15,1953.0,,1953-09-06,326.0,32.0,36.0,12.0,,,,20.0
allensbach,1953-07-15,1953.0,,1953-09-06,53.0,37.0,31.0,15.0,,,,17.0
allensbach,1950-02-15,1953.0,,1953-09-06,1299.0,27.0,31.0,16.0,,,,26.0
allensbach,1953-08-15,1953.0,,1953-09-06,22.0,41.0,28.0,12.0,,,,19.0
allensbach,1951-09-15,1953.0,,1953-09-06,722.0,25.0,38.0,14.0,,,,23.0
allensbach,1953-03-15,1953.0,,1953-09-06,175.0,37.0,33.0,12.0,,,,18.0
allensbach,1951-01-15,1953.0,,1953-09-06,965.0,29.0,37.0,15.0,,,,19.0
allensbach,1952-07-15,1953.0,,1953-09-06,418.0,33.0,33.0,15.0,,,,19.0
allensbach,1951-12-15,1953.0,,1953-09-06,631.0,29.0,34.0,16.0,,,,21.0
allensbach,1953-01-15,1953.0,,1953-09-06,234.0,33.0,36.0,15.0,,,,16.0
allensbach,1952-01-15,1953.0,,1953-09-06,600.0,28.0,40.0,10.0,,,,22.0
allensbach,1953-06-15,1953.0,,1953-09-06,83.0,39.0,34.0,12.0,,,,15.0
allensbach,1951-11-15,1953.0,,1953-09-06,661.0,27.0,36.0,14.5,,,,22.5
allensbach,1953-04-15,1953.0,,1953-09-06,144.0,37.0,32.0,14.0,,,,17.0
allensbach,1957-07-15,1957.0,,1957-09-15,62.0,44.0,37.0,8.0,,,,11.0
allensbach,1957-04-15,1957.0,,1957-09-15,153.0,41.0,40.0,9.0,,,,10.0
allensbach,1957-05-15,1957.0,,1957-09-15,123.0,42.0,39.0,8.0,,,,11.0
allensbach,1955-06-15,1957.0,,1957-09-15,823.0,43.0,33.0,12.0,,,,12.0
allensbach,1955-05-15,1957.0,,1957-09-15,854.0,41.0,33.0,13.0,,,,13.0
allensbach,1954-02-15,1957.0,,1957-09-15,1308.0,44.0,30.0,13.0,,,,13.0
allensbach,1957-03-15,1957.0,,1957-09-15,184.0,41.0,40.0,9.0,,,,10.0
allensbach,1957-02-15,1957.0,,1957-09-15,212.0,42.0,40.0,8.0,,,,10.0
allensbach,1956-03-15,1957.0,,1957-09-15,549.0,42.0,35.0,11.0,,,,12.0
allensbach,1955-08-15,1957.0,,1957-09-15,762.0,44.0,36.0,11.0,,,,9.0
allensbach,1957-08-15,1957.0,,1957-09-15,31.0,46.0,36.0,7.0,,,,11.0
allensbach,1954-09-15,1957.0,,1957-09-15,1096.0,42.0,31.0,14.0,,,,13.0
allensbach,1954-01-15,1957.0,,1957-09-15,1339.0,45.0,30.0,12.0,,,,13.0
allensbach,1954-12-15,1957.0,,1957-09-15,1005.0,41.0,33.0,13.0,,,,13.0
allensbach,1956-09-15,1957.0,,1957-09-15,365.0,41.0,40.0,8.0,,,,11.0
allensbach,1957-09-14,1957.0,1800.0,1957-09-15,1.0,50.0,32.0,7.0,,,,11.0
allensbach,1956-12-15,1957.0,,1957-09-15,274.0,39.0,45.0,7.0,,,,9.0
allensbach,1956-01-15,1957.0,,1957-09-15,609.0,41.0,36.0,11.0,,,,12.0
allensbach,1955-12-15,1957.0,,1957-09-15,640.0,43.0,33.0,11.0,,,,13.0
allensbach,1955-09-15,1957.0,,1957-09-15,731.0,47.0,31.0,11.0,,,,11.0
allensbach,1953-10-15,1957.0,,1957-09-15,1431.0,48.0,27.0,12.0,,,,13.0
allensbach,1957-01-15,1957.0,,1957-09-15,243.0,42.0,40.0,8.0,,,,10.0
allensbach,1954-11-15,1957.0,,1957-09-15,1035.0,44.0,33.0,11.0,,,,12.0
allensbach,1956-04-15,1957.0,,1957-09-15,518.0,42.0,35.0,11.0,,,,12.0
allensbach,1954-03-15,1957.0,,1957-09-15,1280.0,44.0,30.0,13.0,,,,13.0
allensbach,1954-04-15,1957.0,,1957-09-15,1249.0,42.0,31.0,14.0,,,,13.0
allensbach,1953-12-15,1957.0,,1957-09-15,1370.0,43.0,31.0,13.0,,,,13.0
allensbach,1953-11-15,1957.0,,1957-09-15,1400.0,48.0,26.0,12.0,,,,14.0
allensbach,1954-07-15,1957.0,,1957-09-15,1158.0,40.0,32.0,14.0,,,,14.0
allensbach,1955-01-15,1957.0,,1957-09-15,974.0,41.0,33.0,12.0,,,,14.0
allensbach,1954-05-15,1957.0,,1957-09-15,1219.0,39.0,32.0,15.0,,,,14.0
allensbach,1955-02-15,1957.0,,1957-09-15,943.0,42.0,34.0,12.0,,,,12.0
allensbach,1956-02-15,1957.0,,1957-09-15,578.0,44.0,33.0,10.0,,,,13.0
allensbach,1956-11-15,1957.0,,1957-09-15,304.0,38.0,43.0,9.0,,,,10.0
allensbach,1956-05-15,1957.0,,1957-09-15,488.0,41.0,36.0,9.0,,,,14.0
allensbach,1955-11-15,1957.0,,1957-09-15,670.0,44.0,34.0,9.0,,,,13.0
allensbach,1954-10-15,1957.0,,1957-09-15,1066.0,43.0,30.0,13.0,,,,14.0
allensbach,1956-08-15,1957.0,,1957-09-15,396.0,40.0,40.0,9.0,,,,11.0
allensbach,1956-07-15,1957.0,,1957-09-15,427.0,37.0,35.0,12.0,,,,16.0
allensbach,1955-03-15,1957.0,,1957-09-15,915.0,40.0,34.0,12.0,,,,14.0
allensbach,1961-09-14,1961.0,1000.0,1961-09-17,3.0,43.0,42.0,,,,,15.0
allensbach,1960-06-15,1961.0,,1961-09-17,459.0,44.0,43.0,6.0,,,,7.0
allensbach,1961-07-15,1961.0,,1961-09-17,64.0,49.0,39.0,8.0,,,,4.0
allensbach,1958-12-15,1961.0,,1961-09-17,1007.0,44.0,40.0,7.0,,,,9.0
allensbach,1960-03-15,1961.0,,1961-09-17,551.0,44.0,43.0,6.0,,,,7.0
allensbach,1961-06-15,1961.0,,1961-09-17,94.0,49.0,39.0,7.0,,,,5.0
allensbach,1958-04-15,1961.0,,1961-09-17,1251.0,42.0,40.0,8.0,,,,10.0
allensbach,1960-05-15,1961.0,,1961-09-17,490.0,45.0,42.0,6.0,,,,7.0
allensbach,1960-01-15,1961.0,,1961-09-17,611.0,43.0,42.0,8.0,,,,7.0
allensbach,1959-03-15,1961.0,,1961-09-17,917.0,52.0,35.0,6.0,,,,7.0
allensbach,1958-01-15,1961.0,,1961-09-17,1341.0,50.0,34.0,7.0,,,,9.0
allensbach,1958-07-15,1961.0,,1961-09-17,1160.0,46.0,39.0,7.0,,,,8.0
allensbach,1959-11-15,1961.0,,1961-09-17,672.0,46.0,39.0,7.0,,,,8.0
allensbach,1961-02-15,1961.0,,1961-09-17,214.0,49.0,41.0,5.0,,,,5.0
allensbach,1959-05-15,1961.0,,1961-09-17,856.0,47.0,41.0,6.0,,,,6.0
allensbach,1959-08-15,1961.0,,1961-09-17,764.0,46.0,39.0,7.0,,,,8.0
allensbach,1958-05-15,1961.0,,1961-09-17,1221.0,46.0,37.0,9.0,,,,8.0
allensbach,1961-08-12,1961.0,1000.0,1961-09-17,36.0,50.0,38.0,8.0,,,,4.0
allensbach,1958-11-15,1961.0,,1961-09-17,1037.0,47.0,36.0,7.0,,,,10.0
allensbach,1960-10-15,1961.0,,1961-09-17,337.0,45.0,43.0,7.0,,,,5.0
allensbach,1959-01-15,1961.0,,1961-09-17,976.0,46.0,41.0,6.0,,,,7.0
allensbach,1959-12-15,1961.0,,1961-09-17,642.0,48.0,40.0,6.0,,,,6.0
allensbach,1961-05-15,1961.0,,1961-09-17,125.0,51.0,36.0,8.0,,,,5.0
allensbach,1960-07-15,1961.0,,1961-09-17,429.0,45.0,43.0,5.0,,,,7.0
allensbach,1959-09-15,1961.0,,1961-09-17,733.0,44.0,42.0,6.0,,,,8.0
allensbach,1959-04-15,1961.0,,1961-09-17,886.0,47.0,37.0,7.0,,,,9.0
allensbach,1960-02-15,1961.0,,1961-09-17,580.0,43.0,41.0,8.0,,,,8.0
allensbach,1961-03-15,1961.0,,1961-09-17,186.0,44.0,41.0,9.0,,,,6.0
allensbach,1959-07-15,1961.0,,1961-09-17,795.0,46.0,39.0,7.0,,,,8.0
allensbach,1959-06-15,1961.0,,1961-09-17,825.0,47.0,38.0,7.0,,,,8.0
allensbach,1961-01-15,1961.0,,1961-09-17,245.0,52.0,37.0,6.0,,,,5.0
allensbach,1960-09-15,1961.0,,1961-09-17,367.0,43.0,45.0,6.0,,,,6.0
allensbach,1959-02-15,1961.0,,1961-09-17,945.0,46.0,42.0,6.0,,,,6.0
allensbach,1958-08-15,1961.0,,1961-09-17,1129.0,49.0,37.0,8.0,,,,6.0
allensbach,1958-09-15,1961.0,,1961-09-17,1098.0,50.0,37.0,7.0,,,,6.0
allensbach,1958-03-15,1961.0,,1961-09-17,1282.0,49.0,36.0,8.0,,,,7.0
allensbach,1958-02-15,1961.0,,1961-09-17,1310.0,47.0,35.0,9.0,,,,9.0
allensbach,1960-08-15,1961.0,,1961-09-17,398.0,47.0,41.0,6.0,,,,6.0
allensbach,1957-10-15,1961.0,,1961-09-17,1433.0,52.0,31.0,8.0,,,,9.0
allensbach,1961-04-15,1961.0,,1961-09-17,155.0,45.0,40.0,9.0,,,,6.0
allensbach,1959-10-15,1961.0,,1961-09-17,703.0,44.0,43.0,5.0,,,,8.0
allensbach,1958-10-15,1961.0,,1961-09-17,1068.0,50.0,36.0,7.0,,,,7.0
allensbach,1957-12-15,1961.0,,1961-09-17,1372.0,51.0,31.0,8.0,,,,10.0
allensbach,1960-11-15,1961.0,,1961-09-17,306.0,46.0,43.0,5.0,,,,6.0
allensbach,1960-12-15,1961.0,,1961-09-17,276.0,52.0,37.0,6.0,,,,5.0
allensbach,1964-09-15,1965.0,,1965-09-19,369.0,46.0,44.0,7.0,,,,3.0
allensbach,1962-09-15,1965.0,,1965-09-19,1100.0,47.0,42.0,8.0,,,,3.0
allensbach,1964-12-15,1965.0,,1965-09-19,278.0,45.0,45.0,7.0,,,,3.0
allensbach,1961-10-15,1965.0,,1965-09-19,1435.0,45.0,39.0,12.0,,,,4.0
allensbach,1963-10-15,1965.0,,1965-09-19,705.0,49.0,41.0,6.0,,,,4.0
allensbach,1964-10-15,1965.0,,1965-09-19,339.0,43.0,50.0,6.0,,,,1.0
allensbach,1963-05-15,1965.0,,1965-09-19,858.0,41.0,46.0,8.0,,,,5.0
allensbach,1962-11-15,1965.0,,1965-09-19,1039.0,44.0,43.0,9.0,,,,4.0
allensbach,1965-01-15,1965.0,,1965-09-19,247.0,46.0,46.0,6.0,,,,2.0
allensbach,1964-11-15,1965.0,,1965-09-19,308.0,45.0,47.0,5.0,,,,3.0
allensbach,1963-04-15,1965.0,,1965-09-19,888.0,43.0,45.0,8.0,,,,4.0
allensbach,1964-01-15,1965.0,,1965-09-19,613.0,43.0,45.0,9.0,,,,3.0
allensbach,1965-02-15,1965.0,,1965-09-19,216.0,42.0,47.0,7.0,,,,4.0
allensbach,1963-09-15,1965.0,,1965-09-19,735.0,42.0,44.0,10.0,,,,4.0
allensbach,1963-11-15,1965.0,,1965-09-19,674.0,47.0,42.0,8.0,,,,3.0
allensbach,1962-08-15,1965.0,,1965-09-19,1131.0,45.0,41.0,8.0,,,,6.0
allensbach,1965-08-15,1965.0,,1965-09-19,35.0,45.5,43.5,7.0,,,,4.0
allensbach,1961-12-15,1965.0,,1965-09-19,1374.0,43.0,41.0,12.0,,,,4.0
allensbach,1965-06-15,1965.0,,1965-09-19,96.0,46.0,44.0,7.0,,,,3.0
allensbach,1962-03-15,1965.0,,1965-09-19,1284.0,46.0,39.0,10.0,,,,5.0
allensbach,1963-02-15,1965.0,,1965-09-19,947.0,46.0,44.0,7.0,,,,3.0
allensbach,1962-02-15,1965.0,,1965-09-19,1312.0,48.0,37.0,9.0,,,,6.0
allensbach,1965-04-15,1965.0,,1965-09-19,157.0,44.0,43.0,10.0,,,,3.0
allensbach,1963-07-15,1965.0,,1965-09-19,797.0,41.0,47.0,8.0,,,,4.0
allensbach,1962-06-15,1965.0,,1965-09-19,1192.0,43.0,42.0,11.0,,,,4.0
allensbach,1965-07-15,1965.0,,1965-09-19,66.0,48.0,43.0,7.0,,,,2.0
allensbach,1965-05-15,1965.0,,1965-09-19,127.0,47.0,42.0,8.0,,,,3.0
allensbach,1963-12-15,1965.0,,1965-09-19,644.0,43.0,46.0,8.0,,,,3.0
allensbach,1964-05-15,1965.0,,1965-09-19,492.0,47.0,41.0,8.0,,,,4.0
allensbach,1964-04-15,1965.0,,1965-09-19,522.0,47.0,41.0,8.0,,,,4.0
allensbach,1964-03-15,1965.0,,1965-09-19,553.0,45.0,44.0,7.0,,,,4.0
allensbach,1964-07-15,1965.0,,1965-09-19,431.0,45.0,42.0,9.0,,,,4.0
allensbach,1965-03-15,1965.0,,1965-09-19,188.0,44.0,44.0,9.0,,,,3.0
allensbach,1962-04-15,1965.0,,1965-09-19,1253.0,47.0,40.0,9.0,,,,4.0
allensbach,1962-12-15,1965.0,,1965-09-19,1009.0,44.0,43.0,9.0,,,,4.0
allensbach,1964-06-15,1965.0,,1965-09-19,461.0,46.0,41.0,8.0,,,,5.0
allensbach,1964-08-15,1965.0,,1965-09-19,400.0,43.0,45.0,9.0,,,,3.0
allensbach,1962-07-15,1965.0,,1965-09-19,1162.0,47.0,40.0,8.0,,,,5.0
allensbach,1964-02-15,1965.0,,1965-09-19,582.0,46.0,44.0,7.0,,,,3.0
allensbach,1963-01-15,1965.0,,1965-09-19,978.0,47.0,41.0,7.0,,,,5.0
