survey_id,survey_date,survey_persons,survey_start,survey_end,parliament_id,parliament_name,institute_id,institute_name,tasker_id,tasker_name,result_ssw,result_tierschutzpartei,result_fdp,result_die-partei,result_familie,result_bvb-fw,result_cdu-csu,result_biw,result_cdu,result_gruene,result_werteunion,result_bfth,result_linke,result_bayernpartei,result_piraten,result_sonstige,result_freie-waehler,result_bsw,result_volt,result_plus-brandenburg,result_npd,result_spd,result_bunt-saar,result_oedp,result_afd,result_csu
3768,2025-02-21,1681,2025-02-17,2025-02-20,bundestag,Bundestag,yougov,YouGov,yougov,YouGov,,,4.0,,,,29.0,,,13.0,,,8.0,,,5.0,,5.0,,,,16.0,,,20.0,
3767,2025-02-20,1349,2025-02-19,2025-02-20,bundestag,Bundestag,forschungsgruppe-wahlen,Forschungsgruppe Wahlen,zdf-politbarometer,ZDF-Politbarometer,,,4.5,,,,28.0,,,14.0,,,8.0,,,4.0,,4.5,,,,16.0,,,21.0,
3766,2025-02-20,2000,2025-02-12,2025-02-19,bundestag,Bundestag,ipsos,Ipsos,ipsos,Ipsos,,,4.5,,,,31.0,,,13.0,,,7.0,,,5.0,,4.5,,,,15.0,,,20.0,
3765,2025-02-20,1308,2025-02-17,2025-02-19,hamburg,Hamburgische Bürgerschaft,infratest-dimap,Infratest dimap,ard,ARD,,,3.0,,,,,,17.0,18.0,,,10.0,,,4.0,,3.0,3.0,,,32.0,,,10.0,
3764,2025-02-20,2502,2025-02-18,2025-02-19,bundestag,Bundestag,insa,INSA,bild,BILD,,,4.0,,,,30.0,,,13.0,,,7.0,,,5.0,,5.0,,,,15.0,,,21.0,
3763,2025-02-19,1000,2025-02-10,2025-02-17,niedersachsen,Niedersächsischer Landtag,insa,INSA,bild,BILD,,,5.0,,,,,,30.0,10.0,,,5.0,,,4.0,,5.0,,,,25.0,,,16.0,
3762,2025-02-19,1016,2025-02-16,2025-02-19,bundestag,Bundestag,gms,GMS,gms,GMS,,,4.0,,,,31.0,,,13.0,,,6.0,,,5.0,2.0,4.0,,,,15.0,,,20.0,
3761,2025-02-18,1000,2025-02-17,2025-02-18,bundestag,Bundestag,institut-wahlkreisprognose,Institut Wahlkreisprognose,institut-wahlkreisprognose,Institut Wahlkreisprognose,,,4.0,,,,30.0,,,12.0,,,7.0,,,5.5,2.0,5.0,,,,14.5,,,20.0,
3760,2025-02-18,2501,2025-02-11,2025-02-17,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,5.0,,,,30.0,,,13.0,,,7.0,,,5.0,,4.0,,,,16.0,,,20.0,
3759,2025-02-18,2131,2025-02-14,2025-02-17,bundestag,Bundestag,yougov,YouGov,yougov,YouGov,,,4.0,,,,27.0,,,12.0,,,9.0,,,5.0,,5.0,,,,17.0,,,20.0,
3758,2025-02-17,2010,2025-02-14,2025-02-17,bundestag,Bundestag,insa,INSA,bild,BILD,,,4.5,,,,30.0,,,13.0,,,6.5,,,4.0,,5.0,,,,15.0,,,22.0,
3757,2025-02-15,1000,2025-02-03,2025-02-10,baden-wuerttemberg,Landtag von Baden-Württemberg,insa,INSA,schwaebische-zeitung,Schwäbische Zeitung,,,5.0,,,,,,31.0,20.0,,,4.0,,,4.0,,5.0,,,,13.0,,,18.0,
3756,2025-02-15,1205,2025-02-10,2025-02-14,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,4.0,,,,30.0,,,13.0,,,6.0,,,6.0,,5.0,,,,15.0,,,21.0,
3755,2025-02-14,1021,2025-01-31,2025-02-12,bundestag,Bundestag,allensbach,Allensbach,frankfurter-allgemeine-zeitung,Frankfurter Allgemeine Zeitung,,,5.0,,,,32.0,,,13.0,,,6.0,,,5.0,,4.0,,,,15.0,,,20.0,
3754,2025-02-14,1055,2025-02-10,2025-02-13,hamburg,Hamburgische Bürgerschaft,forschungsgruppe-wahlen,Forschungsgruppe Wahlen,zdf-politbarometer,ZDF-Politbarometer,,,3.0,,,,,,18.0,19.0,,,9.0,,,4.0,,3.0,3.0,,,32.0,,,9.0,
3753,2025-02-14,1348,2025-02-11,2025-02-13,bundestag,Bundestag,forschungsgruppe-wahlen,Forschungsgruppe Wahlen,zdf-politbarometer,ZDF-Politbarometer,,,4.0,,,,30.0,,,14.0,,,7.0,,,5.0,,4.0,,,,16.0,,,20.0,
3752,2025-02-13,1700,2025-02-11,2025-02-13,bundestag,Bundestag,institut-wahlkreisprognose,Institut Wahlkreisprognose,institut-wahlkreisprognose,Institut Wahlkreisprognose,,,4.0,,,,32.0,,,12.5,,,6.0,,,7.0,1.5,4.5,,,,12.5,,,20.0,
3751,2025-02-13,1579,2025-02-10,2025-02-12,bundestag,Bundestag,infratest-dimap,Infratest dimap,ard-tagesthemen,ARD-Tagesthemen,,,4.0,,,,32.0,,,14.0,,,6.0,,,4.5,,4.5,,,,14.0,,,21.0,
3750,2025-02-12,1501,2025-02-11,2025-02-12,bundestag,Bundestag,pollytix,pollytix,pollytix,pollytix,,,4.0,,,,29.0,,,14.0,,,6.0,,,6.0,,5.0,,,,17.0,,,19.0,
3749,2025-02-12,2083,2025-02-07,2025-02-10,bundestag,Bundestag,yougov,YouGov,yougov,YouGov,,,4.0,,,,29.0,,,12.0,,,6.0,,,6.0,,5.0,,,,16.0,,,21.0,
