,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_nation[0],28.68,3.358,23.188,34.158,0.012,0.019,75852.0,29608.0,1.0
alpha_nation[1],18.963,2.578,14.854,23.273,0.009,0.014,85750.0,32676.0,1.0
alpha_nation[2],13.026,2.175,9.513,16.601,0.008,0.012,80653.0,31644.0,1.0
alpha_nation[3],6.65,1.447,4.268,8.982,0.005,0.008,78921.0,30292.0,1.0
alpha_nation[4],4.98,1.401,2.652,7.169,0.005,0.008,81363.0,30828.0,1.0
alpha_nation[5],16.056,2.519,11.861,20.089,0.009,0.014,81281.0,31084.0,1.0
alpha_nation[6],4.383,1.241,2.385,6.389,0.004,0.007,81681.0,29525.0,1.0
alpha_nation[7],7.461,1.54,4.848,9.879,0.005,0.009,82154.0,29061.0,1.0
voter_share_nation[0],0.298,0.015,0.272,0.322,0.0,0.0,83862.0,31115.0,1.0
voter_share_nation[1],0.158,0.012,0.138,0.178,0.0,0.0,81819.0,30031.0,1.0
voter_share_nation[2],0.131,0.011,0.113,0.15,0.0,0.0,81127.0,31148.0,1.0
voter_share_nation[3],0.046,0.007,0.034,0.057,0.0,0.0,67954.0,31511.0,1.0
voter_share_nation[4],0.07,0.009,0.056,0.084,0.0,0.0,61658.0,30964.0,1.0
voter_share_nation[5],0.2,0.013,0.178,0.221,0.0,0.0,84095.0,30759.0,1.0
voter_share_nation[6],0.046,0.007,0.035,0.058,0.0,0.0,65705.0,30289.0,1.0
voter_share_nation[7],0.051,0.007,0.038,0.062,0.0,0.0,42673.0,34650.0,1.0
