,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],-0.781,0.56,-1.726,0.108,0.004,0.004,23979.0,20321.0,1.0
epsilon[1],-0.82,0.379,-1.44,-0.208,0.002,0.002,31864.0,26747.0,1.0
epsilon[2],-0.423,0.264,-0.862,-0.0,0.002,0.002,29529.0,23125.0,1.0
epsilon[3],0.258,0.166,-0.01,0.512,0.002,0.002,6320.0,5162.0,1.0
epsilon[4],-0.607,0.214,-0.929,-0.272,0.002,0.002,8992.0,15855.0,1.0
epsilon[5],-2.071,0.555,-2.981,-1.172,0.005,0.003,14269.0,21004.0,1.0
epsilon[6],0.457,0.288,0.019,0.877,0.003,0.003,11278.0,14516.0,1.0
epsilon[7],0.198,0.253,-0.192,0.589,0.002,0.002,17462.0,16289.0,1.0
sigma_trend,0.034,0.012,0.016,0.052,0.0,0.0,7375.0,12863.0,1.0
voter_share_BW[0],0.327,0.008,0.314,0.341,0.0,0.0,69751.0,28858.0,1.0
voter_share_BW[1],0.123,0.006,0.114,0.133,0.0,0.0,62602.0,31559.0,1.0
voter_share_BW[2],0.206,0.007,0.194,0.217,0.0,0.0,66856.0,28711.0,1.0
voter_share_BW[3],0.05,0.004,0.044,0.057,0.0,0.0,53184.0,27878.0,1.0
voter_share_BW[4],0.022,0.003,0.018,0.026,0.0,0.0,41073.0,27732.0,1.0
voter_share_BW[5],0.166,0.007,0.155,0.176,0.0,0.0,71253.0,27257.0,1.0
voter_share_BW[6],0.05,0.004,0.043,0.056,0.0,0.0,55027.0,30329.0,1.0
voter_share_BW[7],0.056,0.004,0.049,0.062,0.0,0.0,41244.0,25296.0,1.0
voter_share_BY[0],0.493,0.007,0.481,0.505,0.0,0.0,62228.0,29540.0,1.0
voter_share_BY[1],0.09,0.004,0.083,0.097,0.0,0.0,61358.0,29250.0,1.0
voter_share_BY[2],0.124,0.005,0.115,0.132,0.0,0.0,67945.0,30301.0,1.0
voter_share_BY[3],0.023,0.002,0.019,0.026,0.0,0.0,45932.0,27259.0,1.0
voter_share_BY[4],0.011,0.002,0.009,0.014,0.0,0.0,33612.0,28815.0,1.0
voter_share_BY[5],0.135,0.005,0.127,0.143,0.0,0.0,63032.0,29779.0,1.0
voter_share_BY[6],0.045,0.003,0.04,0.05,0.0,0.0,60112.0,29821.0,1.0
voter_share_BY[7],0.08,0.004,0.073,0.086,0.0,0.0,39716.0,24809.0,1.0
voter_share_BE[0],0.268,0.012,0.249,0.289,0.0,0.0,58038.0,29561.0,1.0
voter_share_BE[1],0.121,0.009,0.105,0.135,0.0,0.0,55516.0,29068.0,1.0
voter_share_BE[2],0.201,0.011,0.183,0.22,0.0,0.0,70202.0,29149.0,1.0
voter_share_BE[3],0.038,0.005,0.029,0.047,0.0,0.0,46874.0,29857.0,1.0
voter_share_BE[4],0.063,0.007,0.052,0.074,0.0,0.0,51903.0,29944.0,1.0
voter_share_BE[5],0.149,0.01,0.133,0.166,0.0,0.0,63742.0,29458.0,1.0
voter_share_BE[6],0.07,0.007,0.058,0.081,0.0,0.0,55098.0,29762.0,1.0
voter_share_BE[7],0.089,0.008,0.076,0.102,0.0,0.0,41925.0,25734.0,1.0
voter_share_BB[0],0.164,0.008,0.151,0.177,0.0,0.0,74946.0,28493.0,1.0
voter_share_BB[1],0.266,0.009,0.251,0.281,0.0,0.0,73329.0,27735.0,1.0
voter_share_BB[2],0.042,0.004,0.035,0.049,0.0,0.0,54196.0,28418.0,1.0
voter_share_BB[3],0.01,0.002,0.006,0.013,0.0,0.0,28814.0,25104.0,1.0
voter_share_BB[4],0.046,0.004,0.039,0.053,0.0,0.0,55951.0,29360.0,1.0
voter_share_BB[5],0.296,0.01,0.28,0.312,0.0,0.0,78004.0,28079.0,1.0
voter_share_BB[6],0.123,0.007,0.112,0.134,0.0,0.0,75089.0,28289.0,1.0
voter_share_BB[7],0.053,0.005,0.045,0.061,0.0,0.0,39180.0,24601.0,1.0
voter_share_HB[0],0.256,0.016,0.23,0.282,0.0,0.0,67552.0,28705.0,1.0
voter_share_HB[1],0.282,0.016,0.256,0.309,0.0,0.0,65441.0,26848.0,1.0
voter_share_HB[2],0.137,0.012,0.117,0.158,0.0,0.0,67594.0,27560.0,1.0
voter_share_HB[3],0.052,0.008,0.039,0.065,0.0,0.0,66934.0,28646.0,1.0
voter_share_HB[4],0.104,0.011,0.086,0.122,0.0,0.0,70781.0,27007.0,1.0
voter_share_HB[5],0.014,0.004,0.006,0.021,0.0,0.0,28543.0,25146.0,1.0
voter_share_HB[6],0.006,0.003,0.002,0.011,0.0,0.0,23428.0,18672.0,1.0
voter_share_HB[7],0.148,0.013,0.127,0.169,0.0,0.0,40129.0,23949.0,1.0
voter_share_HH[0],0.179,0.004,0.172,0.186,0.0,0.0,71405.0,27642.0,1.0
voter_share_HH[1],0.321,0.005,0.313,0.33,0.0,0.0,69062.0,29151.0,1.0
voter_share_HH[2],0.204,0.005,0.197,0.212,0.0,0.0,66226.0,29619.0,1.0
voter_share_HH[3],0.033,0.002,0.03,0.037,0.0,0.0,42511.0,30410.0,1.0
voter_share_HH[4],0.075,0.003,0.07,0.08,0.0,0.0,62021.0,29088.0,1.0
voter_share_HH[5],0.097,0.003,0.091,0.103,0.0,0.0,63685.0,28534.0,1.0
voter_share_HH[6],0.035,0.002,0.032,0.039,0.0,0.0,46835.0,29778.0,1.0
voter_share_HH[7],0.055,0.003,0.05,0.059,0.0,0.0,44873.0,25920.0,1.0
voter_share_HE[0],0.376,0.015,0.352,0.401,0.0,0.0,64102.0,29424.0,1.0
voter_share_HE[1],0.152,0.011,0.134,0.17,0.0,0.0,60346.0,28928.0,1.0
voter_share_HE[2],0.14,0.011,0.123,0.157,0.0,0.0,67537.0,28983.0,1.0
voter_share_HE[3],0.032,0.005,0.024,0.041,0.0,0.0,49780.0,30524.0,1.0
voter_share_HE[4],0.029,0.005,0.021,0.038,0.0,0.0,43788.0,28564.0,1.0
voter_share_HE[5],0.159,0.011,0.14,0.177,0.0,0.0,65423.0,28224.0,1.0
voter_share_HE[6],0.032,0.005,0.023,0.041,0.0,0.0,46755.0,28666.0,1.0
voter_share_HE[7],0.079,0.008,0.065,0.092,0.0,0.0,39502.0,24079.0,1.0
voter_share_MV[0],0.176,0.007,0.165,0.187,0.0,0.0,60988.0,29634.0,1.0
voter_share_MV[1],0.214,0.007,0.202,0.225,0.0,0.0,65394.0,28096.0,1.0
voter_share_MV[2],0.06,0.004,0.053,0.066,0.0,0.0,50829.0,29880.0,1.0
voter_share_MV[3],0.026,0.003,0.022,0.031,0.0,0.0,36617.0,29493.0,1.0
voter_share_MV[4],0.068,0.004,0.061,0.075,0.0,0.0,54929.0,28470.0,1.0
voter_share_MV[5],0.287,0.008,0.274,0.3,0.0,0.0,62213.0,29477.0,1.0
voter_share_MV[6],0.114,0.006,0.105,0.123,0.0,0.0,50691.0,29884.0,1.0
voter_share_MV[7],0.057,0.004,0.05,0.063,0.0,0.0,44049.0,25592.0,1.0
voter_share_NI[0],0.319,0.007,0.307,0.331,0.0,0.0,70278.0,29270.0,1.0
voter_share_NI[1],0.26,0.007,0.249,0.271,0.0,0.0,68866.0,30469.0,1.0
voter_share_NI[2],0.107,0.005,0.1,0.115,0.0,0.0,69167.0,29165.0,1.0
voter_share_NI[3],0.032,0.003,0.027,0.036,0.0,0.0,53778.0,31071.0,1.0
voter_share_NI[4],0.017,0.002,0.014,0.02,0.0,0.0,35470.0,29752.0,1.0
voter_share_NI[5],0.158,0.006,0.149,0.167,0.0,0.0,72346.0,29909.0,1.0
voter_share_NI[6],0.048,0.003,0.042,0.053,0.0,0.0,53102.0,29002.0,1.0
voter_share_NI[7],0.06,0.004,0.054,0.066,0.0,0.0,40891.0,24447.0,1.0
voter_share_NW[0],0.408,0.012,0.387,0.428,0.0,0.0,67969.0,29596.0,1.0
voter_share_NW[1],0.162,0.009,0.147,0.177,0.0,0.0,66880.0,28959.0,1.0
voter_share_NW[2],0.14,0.009,0.126,0.155,0.0,0.0,65326.0,28433.0,1.0
voter_share_NW[3],0.031,0.004,0.024,0.038,0.0,0.0,47236.0,28387.0,1.0
voter_share_NW[4],0.02,0.003,0.014,0.025,0.0,0.0,41590.0,29355.0,1.0
voter_share_NW[5],0.13,0.008,0.116,0.144,0.0,0.0,62046.0,28712.0,1.0
voter_share_NW[6],0.031,0.004,0.024,0.039,0.0,0.0,48950.0,28974.0,1.0
voter_share_NW[7],0.079,0.007,0.067,0.089,0.0,0.0,40635.0,24368.0,1.0
voter_share_RP[0],0.335,0.014,0.312,0.357,0.0,0.0,41211.0,28759.0,1.0
voter_share_RP[1],0.247,0.012,0.227,0.268,0.0,0.0,37907.0,31124.0,1.0
voter_share_RP[2],0.114,0.009,0.099,0.129,0.0,0.0,40859.0,28353.0,1.0
voter_share_RP[3],0.042,0.006,0.033,0.052,0.0,0.0,53271.0,26078.0,1.0
voter_share_RP[4],0.001,0.001,0.0,0.002,0.0,0.0,4267.0,2009.0,1.0
voter_share_RP[5],0.146,0.01,0.129,0.163,0.0,0.0,41419.0,29755.0,1.0
voter_share_RP[6],0.043,0.006,0.034,0.053,0.0,0.0,55446.0,28088.0,1.0
voter_share_RP[7],0.073,0.008,0.061,0.086,0.0,0.0,37861.0,26428.0,1.0
voter_share_SL[0],0.29,0.013,0.268,0.311,0.0,0.0,67485.0,29600.0,1.0
voter_share_SL[1],0.269,0.013,0.247,0.29,0.0,0.0,67641.0,30577.0,1.0
voter_share_SL[2],0.043,0.006,0.033,0.052,0.0,0.0,48544.0,30015.0,1.0
voter_share_SL[3],0.037,0.006,0.029,0.046,0.0,0.0,43515.0,30077.0,1.0
voter_share_SL[4],0.03,0.005,0.022,0.038,0.0,0.0,47115.0,30511.0,1.0
voter_share_SL[5],0.136,0.01,0.119,0.152,0.0,0.0,67305.0,27828.0,1.0
voter_share_SL[6],0.09,0.008,0.076,0.103,0.0,0.0,63913.0,28378.0,1.0
voter_share_SL[7],0.105,0.009,0.09,0.12,0.0,0.0,41146.0,24680.0,1.0
voter_share_SN[0],0.324,0.009,0.309,0.339,0.0,0.0,69310.0,30187.0,1.0
voter_share_SN[1],0.052,0.004,0.045,0.06,0.0,0.0,55010.0,29219.0,1.0
voter_share_SN[2],0.071,0.005,0.063,0.08,0.0,0.0,66580.0,27909.0,1.0
voter_share_SN[3],0.021,0.003,0.016,0.026,0.0,0.0,44660.0,29124.0,1.0
voter_share_SN[4],0.042,0.004,0.036,0.049,0.0,0.0,48772.0,28619.0,1.0
voter_share_SN[5],0.366,0.01,0.35,0.382,0.0,0.0,68151.0,32216.0,1.0
voter_share_SN[6],0.071,0.005,0.063,0.079,0.0,0.0,55445.0,29509.0,1.0
voter_share_SN[7],0.052,0.004,0.045,0.06,0.0,0.0,42733.0,26340.0,1.0
voter_share_ST[0],0.319,0.014,0.295,0.342,0.0,0.0,57644.0,30949.0,1.0
voter_share_ST[1],0.086,0.009,0.072,0.1,0.0,0.0,55353.0,29632.0,1.0
